title	link	guid	category	description	pubDate
Kendriya Vidyalaya ONGC Mehsana, Gujarat	http://kvongcmehsana.org	http://kvongcmehsana.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya ONGC Mehsana, Gujarat	Mon, 11 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya Seoni, Madhya Pradesh	http://www.kvseoni.com	http://www.kvseoni.com	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Seoni, Madhya Pradesh	Mon, 11 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya No.4 Ambala Cantonment, Haryana	http://www.kv4ambala.org	http://www.kv4ambala.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya No.4 Ambala Cantonment, Haryana	Mon, 11 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya No.2 Vasco, Goa	http://www.kv2vasco.com	http://www.kv2vasco.com	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya No.2 Vasco, Goa	Mon, 11 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya, Air Force Station, Sinagharsi, Jharkhand	http://kvsingharsi.org.in	http://kvsingharsi.org.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Air Force Station, Sinagharsi, Jharkhand	Mon, 11 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya, Ajni, Nagpur	http://www.kvajni.org.in	http://www.kvajni.org.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Ajni, Nagpur	Mon, 11 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya Bijapur, Karnataka	http://kvbijapur.ac.in	http://kvbijapur.ac.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Bijapur, Karnataka	Mon, 11 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya CRPF Campus, Gandhinagar, Gujarat	http://www.kvgnrcrpf.org	http://www.kvgnrcrpf.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya CRPF Campus, Gandhinagar, Gujarat	Mon, 11 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya Himmat Nagar, Gujarat	http://kvhimmatnagar.edu.in	http://kvhimmatnagar.edu.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Himmat Nagar, Gujarat	Mon, 11 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya, Shivpuri, Madhya Pradesh	http://www.kvshivpuri.org.in	http://www.kvshivpuri.org.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Shivpuri, Madhya Pradesh	Mon, 11 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya, No-2, Air Force Station, Kalaikunda, Midnapur, West Bengal	http://kv2kkd.com	http://kv2kkd.com	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, No-2, Air Force Station, Kalaikunda, Midnapur, West Bengal	Mon, 11 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya No.3, ONGC, Surat, Gujarat	http://kvongcsurat.org	http://kvongcsurat.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya No.3, ONGC, Surat, Gujarat	Mon, 11 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya IIIT Jhalwa, Allahabad	http://kvjhalwa.org	http://kvjhalwa.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya IIIT Jhalwa, Allahabad	Mon, 11 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya Sector-5, Dwarka, New delhi	http://www.kvsec5dwarka.org.in	http://www.kvsec5dwarka.org.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Sector-5, Dwarka, New delhi	Mon, 11 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya Sundargarh, Odisha	http://www.kvsundargarh.org	http://www.kvsundargarh.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Sundargarh, Orissa	Mon, 11 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya Deeptinagar, NTPC Kahalgaon, Bihar	http://www.kvkahalgaon.com	http://www.kvkahalgaon.com	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Deeptinagar, NTPC Kahalgaon, Bihar	Mon, 11 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya No.1 Udhampur, Jammu and Kashmir	http://www.kv1udhampur.org	http://www.kv1udhampur.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya No.1 Udhampur, Jammu and Kashmir	Thu, 23 Apr 2009 12:00:00 +0530
Kendriya Vidyalaya Patratu, Ramgarh, Jharkhand	http://kvpatratu.org	http://kvpatratu.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Patratu, Ramgarh, Jharkhand	Mon, 11 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya Tinsukia, Assam	http://www.kvtinsukia.org	http://www.kvtinsukia.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Tinsukia, Assam	Mon, 11 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya Sagar No.2, Makronia Sagar, Madhya Pradesh	http://www.kv2sagar.com	http://www.kv2sagar.com	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Sagar No.2, Makronia Sagar, Madhya Pradesh	Mon, 11 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya, Rajgarh, Madhya Pradesh	http://www.kvrajgarh.org.in	http://www.kvrajgarh.org.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Rajgarh, Madhya Pradesh	Mon, 11 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya, Karna, Palwal, Haryana	http://kvpalwal.edu.in	http://kvpalwal.edu.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Karna, Palwal, Haryana	Mon, 11 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya Hasimara, West Bengal	http://kvhasimara.edu.in	http://kvhasimara.edu.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Hasimara, West Bengal	Mon, 11 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya Kanpur Cantonment, Uttar Pradesh	http://www.kvkanpurcantt.ac.in	http://www.kvkanpurcantt.ac.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Kanpur Cantonment, Uttar Pradesh	Mon, 11 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya Narangi, Maharashtra	http://kvnarangi.ac.in	http://kvnarangi.ac.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Narangi, Maharashtra	Mon, 11 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya ONGC Panvel, Maharashtra	http://www.kvongcpanvel.com	http://www.kvongcpanvel.com	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya ONGC Panvel, Maharashtra	Mon, 11 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya Jhalawar, Rajasthan	http://www.kvjhalawar.org	http://www.kvjhalawar.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Jhalawar, Rajasthan	Mon, 11 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya No.1 Faridabad, Haryana	http://kvfbd1.com	http://kvfbd1.com	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya No.1 Faridabad, Haryana	Mon, 11 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya NHPC, Loktak, Manipur	http://kvnhpclok.org	http://kvnhpclok.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya NHPC, Loktak, Manipur	Mon, 11 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya Karauli, Rajasthan	http://www.kvkarauli.org	http://www.kvkarauli.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Karauli, Rajasthan	Wed, 18 May 2011 12:00:00 +0530
Jawahar Navodaya Vidyalaya, Cuttack, Odisha	http://jnvcuttack.nic.in	http://jnvcuttack.nic.in	Academies / Institutions (Grant in Aid)	Jawahar Navodaya Vidyalaya, Cuttack, Odisha	Mon, 03 Apr 2006 12:00:00 +0530
Kendriya Vidyalaya, HAPP, Tiruchirappalli, Tamil Nadu	http://www.kvtrichy2.tn.nic.in	http://www.kvtrichy2.tn.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, HAPP, Tiruchirappalli, Tamil Nadu	Tue, 30 Mar 2010 12:00:00 +0530
Kendriya Vidyalaya Sangathan, Regional Office, Mumbai, Maharashtra	http://kvsromumbai.gov.in	http://kvsromumbai.gov.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Sangathan, Regional Office, Mumbai, Maharashtra	Thu, 22 Aug 2013 12:00:00 +0530
Kendriya Hindi Sansthan, Agra, Uttar Pradesh	http://www.khsindia.org	http://www.khsindia.org	Academies / Institutions (Grant in Aid)	Kendriya Hindi Sansthan, Agra, Uttar Pradesh	Mon, 24 Apr 2000 12:00:00 +0530
Jawahar Navodaya Vidyalaya, Jharsuguda, Odisha	http://jnvjharsuguda.nic.in	http://jnvjharsuguda.nic.in	Academies / Institutions (Grant in Aid)	Jawahar Navodaya Vidyalaya, Jharsuguda, Odisha	Fri, 30 Aug 2013 12:00:00 +0530
Central school for Tibetans, Shimla, Himachal Pradesh	http://cstshimla.nic.in	http://cstshimla.nic.in	Academies / Institutions (Grant in Aid)	Central school for Tibetans, Shimla, Himachal Pradesh	Wed, 25 Sep 2013 12:00:00 +0530
Jawahar Navodaya Vidyalayas (JNV), Kendrapara, Odisha	http://jnvkendrapara.nic.in	http://jnvkendrapara.nic.in	Academies / Institutions (Grant in Aid)	Jawahar Navodaya Vidyalayas (JNV), Kendrapara, Orissa	Mon, 10 Oct 2011 12:00:00 +0530
State Academy of Training (SAT), Manipur	http://satmanipur.nic.in	http://satmanipur.nic.in	Academies / Institutions (Grant in Aid)	State Academy of Training (SAT), Manipur	Tue, 19 Jun 2012 12:00:00 +0530
Kendriya Vidyalaya, Mankhurd, Mumbai	http://www.kvmankhurd.org	http://www.kvmankhurd.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Mankhurd, Mumbai	Wed, 11 Feb 2009 12:00:00 +0530
Jawahar Navodaya Vidyalayas, Gajapati, Odisha	http://jnvgajapati.nic.in	http://jnvgajapati.nic.in	Academies / Institutions (Grant in Aid)	Jawahar Navodaya Vidyalayas, Gajapati, Odisha	Tue, 11 Feb 2014 12:00:00 +0530
Kendriya Vidyalaya Jalgaon, Maharashtra	http://www.kvjalgaon.com	http://www.kvjalgaon.com	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Jalgaon, Maharashtra	Thu, 07 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya Sangathan (KVS), Ahmedabad, Gujurat	http://www.kvsroahmedabad.org	http://www.kvsroahmedabad.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Sangathan (KVS), Ahmedabad, Gujurat	Wed, 14 Mar 2007 12:00:00 +0530
Kendriya Vidyalaya Jindrah, Jammu and Kashmir	http://kvjindrah.edu.in	http://kvjindrah.edu.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Jindrah, Jammu and Kashmir	Tue, 21 Apr 2009 12:00:00 +0530
Kendriya Vidyalaya No.1, Srinagar, Jammu and Kashmir	http://www.kvno1srinagar.org	http://www.kvno1srinagar.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya No.1, Srinagar, Jammu and Kashmir	Fri, 24 Apr 2009 12:00:00 +0530
Jawahar Navodaya Vidyalaya, Kannur	http://jnvkannur.gov.in	http://jnvkannur.gov.in	Academies / Institutions (Grant in Aid)	Jawahar Navodaya Vidyalayas are run by Navodaya Vidyalaya Samiti, an educational organisation under Dept. of Higher &amp; Secondary Education, Ministry of Human Resource Development, Govt. of India	Sat, 16 Jan 2010 12:00:00 +0530
Regional Institute of Education (RIE), Bhopal	http://riebhopal.nic.in	http://riebhopal.nic.in	Academies / Institutions (Grant in Aid)	Regional Institute of Education (RIE), Bhopal	Tue, 04 Mar 2014 12:00:00 +0530
Regional Institute of Education (RIE), Ajmer	http://www.rieajmer.ac.in	http://www.rieajmer.ac.in	Academies / Institutions (Grant in Aid)	Regional Institute of Education (RIE), Ajmer	Tue, 04 Mar 2014 12:00:00 +0530
Jawahar Navadoya Vidyalaya, Nud	http://jnvnud.nic.in	http://jnvnud.nic.in	Academies / Institutions (Grant in Aid)	Jawahar Navadoya Vidyalaya, Samba, Nud	Wed, 19 May 2010 12:00:00 +0530
Jawahar Navodaya Vidyalaya, Minicoy, Lakshadweep	http://navodayalakshadweep.nic.in	http://navodayalakshadweep.nic.in	Academies / Institutions (Grant in Aid)	Jawahar Navodaya Vidyalaya, Minicoy, Lakshadweep	Wed, 19 Mar 2014 12:00:00 +0530
Kendriya Vidyalaya No.2, Bailey Road, Patna	http://kvbaileyroadpatna.org	http://kvbaileyroadpatna.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya No.2, Bailey Road, Patna	Sat, 09 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya, Thawe, Gopalganj, Bihar	http://www.kvgopalganj.bih.nic.in	http://www.kvgopalganj.bih.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Thawe, Gopalganj, Bihar	Sat, 09 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya, Motihari, Bihar	http://kvmotihari.org	http://kvmotihari.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Motihari, Bihar	Mon, 11 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya Muzaffarpur, Bihar	http://www.kvmuzaffarpur.org	http://www.kvmuzaffarpur.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Muzaffarpur, Bihar	Mon, 11 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya Lakhisarai, Bihar	http://kvlakhisarai.bih.nic.in	http://kvlakhisarai.bih.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Lakhisarai, Bihar	Mon, 11 Apr 2011 12:00:00 +0530
Jawahar Navodaya Vidyalaya, Tarbha, Sonepur	http://jnvsubarnapur.nic.in	http://jnvsubarnapur.nic.in	Academies / Institutions (Grant in Aid)	Jawahar Navodaya Vidyalaya, Tarbha, Sonepur	Thu, 20 Mar 2014 12:00:00 +0530
Kendriya Vidyalaya, Dharwad, Karnataka	http://www.kvdharwad.ac.in	http://www.kvdharwad.ac.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Dharwad, Karnataka	Sat, 09 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya Mysore, Karnataka	http://www.kvmysore.org	http://www.kvmysore.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Mysore, Karnataka	Tue, 05 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya Hebbal, Bangalore, Karnataka	http://kvhebbal.ac.in	http://kvhebbal.ac.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Hebbal, Bangalore, Karnataka	Tue, 05 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya, Malleswaram, Karnataka	http://www.kvmb.net	http://www.kvmb.net	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Malleswaram, Karnataka	Tue, 05 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya No.1, Golconda, Hyderabad	http://kv1golconda.ap.nic.in	http://kv1golconda.ap.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya No.1, Golconda, Hyderabad	Fri, 25 Mar 2011 12:00:00 +0530
Kendriya Vidyalaya, AFS, Hakimpet, Hyderabad	http://kvhakimpet.ap.nic.in	http://kvhakimpet.ap.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, AFS, Hakimpet, Hyderabad	Fri, 25 Mar 2011 12:00:00 +0530
Kendriya Vidyalaya No.2, Golconda, Hyderabad	http://kv2golconda.ap.nic.in	http://kv2golconda.ap.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya No.2, Golconda, Hyderabad	Fri, 25 Mar 2011 12:00:00 +0530
Kendriya Vidyalaya 1, Nausenabagh, Visakhapatnam	http://kv1nbvizag.ap.nic.in	http://kv1nbvizag.ap.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya 1, Nausenabagh, Visakhapatnam	Fri, 25 Mar 2011 12:00:00 +0530
Kendriya Vidyalaya, CRPF, Hyderabad, Andhra Pradesh	http://kvcrpfhyd.ap.nic.in	http://kvcrpfhyd.ap.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, CRPF, Hyderabad, Andhra Pradesh	Fri, 25 Mar 2011 12:00:00 +0530
Kendriya Vidyalaya, Shivarampally, Hyderabad	http://kvnpa.ap.nic.in	http://kvnpa.ap.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Shivarampally, Hyderabad	Fri, 25 Mar 2011 12:00:00 +0530
Kendriya Vidyalaya No.2, Air Force Academy, Dundigal, Hyderabad	http://kv2afa.ap.nic.in	http://kv2afa.ap.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya No.2, Air Force Academy, Dundigal, Hyderabad	Fri, 25 Mar 2011 12:00:00 +0530
Kendriya Vidyalaya No.1, Uppal, Hyderabad	http://kv1uppal.ap.nic.in	http://kv1uppal.ap.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya No.1, Uppal, Hyderabad	Fri, 25 Mar 2011 12:00:00 +0530
Kendriya Vidyalaya, Bowenpally, Hyderabad	http://kvbowenpally.ap.nic.in	http://kvbowenpally.ap.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Bowenpally, Hyderabad	Fri, 25 Mar 2011 12:00:00 +0530
Kendriya Vidyalaya, Pragati Vihar, New Delhi	http://kvpragativihar.edu.in	http://kvpragativihar.edu.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Pragati Vihar, New Delhi	Fri, 10 Feb 2006 12:00:00 +0530
Kendriya Vidyalaya Sangathan, Regional Office, Patna	http://kvsropatna.org	http://kvsropatna.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Sangathan, Regional Office, Patna	Wed, 11 Feb 2009 12:00:00 +0530
Kendriya Vidyalaya Sangathan (KVS), Regional Office, Silchar 	http://kvsrosilchar.com	http://kvsrosilchar.com	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Sangathan (KVS), Regional Office, Silchar 	Wed, 14 Mar 2007 12:00:00 +0530
Kendriya Vidyalaya,Vijayanarayanam,Tirunelveli,Tamil Nadu	http://www.kvvijayanarayanam.tn.nic.in	http://www.kvvijayanarayanam.tn.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya,Vijayanarayanam,Tirunelveli,Tamil Nadu	Tue, 10 Mar 2009 12:00:00 +0530
Kendriya Vidyalaya, Tiruparankundram,  Madurai, Tamil Nadu	http://www.kv2madurai.tn.nic.in	http://www.kv2madurai.tn.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Tiruparankundram,  Madurai, Tamil Nadu	Tue, 10 Mar 2009 12:00:00 +0530
Jawahar Navodaya Vidyalaya, Valpoi, North Goa	http://www.jnvnorthgoa.gov.in	http://www.jnvnorthgoa.gov.in	Academies / Institutions (Grant in Aid)	Jawahar Navodaya Vidyalaya, Valpoi, North Goa	Fri, 24 Oct 2008 12:00:00 +0530
Kendriya Vidyalaya, Uri	http://www.kvuri.com	http://www.kvuri.com	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Uri	Tue, 19 May 2009 12:00:00 +0530
Jawahar Navodaya Vidyalaya (JNV), West Godavari, Andhra Pradesh	http://jnvwestgodavari.gov.in	http://jnvwestgodavari.gov.in	Academies / Institutions (Grant in Aid)	Jawahar Navodaya Vidyalaya (JNV), West Godavari, Andhra Pradesh	Wed, 03 Dec 2014 12:00:00 +0530
Kendriya Vidyalaya, INS Dronacharya, Cochin	http://kvinsdronacharyacochin.nic.in	http://kvinsdronacharyacochin.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, INS Dronacharya, Cochin	Wed, 13 Jan 2010 12:00:00 +0530
Kendriya Vidyalaya Sangathan, Chennai Region, Tamil Nadu	http://www.kvsrochennai.tn.nic.in	http://www.kvsrochennai.tn.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Sangathan, Chennai Region, Tamil Nadu	Tue, 30 Mar 2010 12:00:00 +0530
Kendriya Vidyalaya, Thakkolam, Vellore, Tamil Nadu	http://www.kvthakkolam.tn.nic.in	http://www.kvthakkolam.tn.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Thakkolam, Vellore, Tamil Nadu	Tue, 30 Mar 2010 12:00:00 +0530
Kendriya Vidyalaya OCF, Avadi, Chennai, Tamil Nadu	http://www.kvocfavadi.tn.nic.in	http://www.kvocfavadi.tn.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya OCF, Avadi, Chennai, Tamil Nadu	Tue, 30 Mar 2010 12:00:00 +0530
Kendriya Vidyalaya No 2, Kalpakkam, Tamil Nadu	http://www.kv2kalpakkam.tn.nic.in	http://www.kv2kalpakkam.tn.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya No 2, Kalpakkam, Tamil Nadu	Tue, 30 Mar 2010 12:00:00 +0530
Kendriya Vidyalaya, Rameswaram, Tamil Nadu	http://www.kvrameswaram.tn.nic.in	http://www.kvrameswaram.tn.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Rameswaram, Tamil Nadu	Tue, 30 Mar 2010 12:00:00 +0530
Kendriya Vidyalaya, Tiruvannamalai	http://www.kvtvmalai.tn.nic.in	http://www.kvtvmalai.tn.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Tiruvannamalai	Wed, 31 Mar 2010 12:00:00 +0530
Kendriya Vidyalaya ,Ooty, Tamil Nadu	http://www.kvindunagar.com	http://www.kvindunagar.com	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya , Ooty, Tamil Nadu	Tue, 30 Mar 2010 12:00:00 +0530
Kendriya Vidyalaya, Thanjavur, Tamil Nadu	http://www.kvthanjavur.org	http://www.kvthanjavur.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Thanjavur, Tamil Nadu	Tue, 30 Mar 2010 12:00:00 +0530
Kendriya Vidyalaya,Wellington,The Nilgiris	http://www.kvwellington.tn.nic.in	http://www.kvwellington.tn.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya,Wellington, Nilgiris	Wed, 31 Mar 2010 12:00:00 +0530
Kendriya Vidyalaya Air Force Station, Sulur	http://www.kvsulur.tn.nic.in	http://www.kvsulur.tn.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Air Force Station, Sulur	Wed, 31 Mar 2010 12:00:00 +0530
Navodaya Leadership Institute, Canancona, Goa	http://nligoa.gov.in	http://nligoa.gov.in	Academies / Institutions (Grant in Aid)	Welcome to Navodaya Leadership Institute,  Canancona, Goa	Wed, 19 May 2010 12:00:00 +0530
National Commission for Minority Educational Institutions (NCMEI)	http://ncmei.gov.in	http://ncmei.gov.in	Academies / Institutions (Grant in Aid)	National Commission for Minority Educational Institutions (NCMEI)	Fri, 21 May 2010 12:00:00 +0530
Indira Gandhi National Tribal University, Amarkantak, Madhya Pradesh	http://igntu.nic.in	http://igntu.nic.in	Academies / Institutions (Grant in Aid)	Indira Gandhi National Tribal University, Amarkantak, Madhya Pradesh	Mon, 30 Aug 2010 12:00:00 +0530
Jawaharlal Navodaya Vidyalaya, Baghmara, South Garo Hills, Meghalaya	http://jnvbaghmara.nic.in	http://jnvbaghmara.nic.in	Academies / Institutions (Grant in Aid)	Jawaharlal Navodaya Vidyalaya, Baghmara, South Garo Hills, Meghalaya 	Wed, 24 Dec 2014 12:00:00 +0530
Jawahar Navadoya Vidyalaya Karnataka	http://jnvkarnataka.kar.nic.in	http://jnvkarnataka.kar.nic.in	Academies / Institutions (Grant in Aid)	Jawahar Navadoya Vidyalaya	Fri, 05 Feb 2010 12:00:00 +0530
The Regional Institute of Education Mysore	http://www.riemysore.ac.in	http://www.riemysore.ac.in	Academies / Institutions (Grant in Aid)	The Regional Institute of Education Mysore 	Mon, 05 Jul 2010 12:00:00 +0530
Kendriya Vidyalaya B.S.F, Khajuwala, Rajasthan	http://kvkhajuwala.org	http://kvkhajuwala.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya B.S.F, Khajuwala, Rajasthan	Fri, 23 Dec 2011 12:00:00 +0530
Jawahar Navodaya Vidyala (JNV), Bissamcuttack, Rayagada, Odisha	http://jnvrayagada.nic.in	http://jnvrayagada.nic.in	Academies / Institutions (Grant in Aid)	Jawahar Navodaya Vidyala (JNV), Bissamcuttack, Rayagada, Odisha	Mon, 29 Dec 2014 12:00:00 +0530
Kendriya Vidyalaya Sangathan (KVS), Bangalore Region	http://www.kvsrobangalore.org	http://www.kvsrobangalore.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Sangathan (KVS), Bangalore Region	Wed, 14 Mar 2007 12:00:00 +0530
Kendriya Vidyalaya, Dhar, Madhya Pradesh	http://www.kvdhar.org.in	http://www.kvdhar.org.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Dhar, Madhya Pradesh	Mon, 15 May 2006 12:00:00 +0530
Jawahar Navodaya Vidyalaya, Narla(JNVN), Kalahandi, Odisha	http://jnvkalahandi.nic.in	http://jnvkalahandi.nic.in	Academies / Institutions (Grant in Aid)	Jawahar Navodaya Vidyalaya, Narla(JNVN), Kalahandi, Odisha	Thu, 29 Nov 2012 12:00:00 +0530
Kendriya Vidyalaya, Meghahatuburu, West Singhbhum, Jharkhand	http://kvmbr.org.in	http://kvmbr.org.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Meghahatuburu, West Singhbhum, Jharkhand	Wed, 30 May 2001 12:00:00 +0530
Kendriya Vidyalaya, Kamptee, Maharashtra	http://kvkamptee.org.in	http://kvkamptee.org.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Kamptee, Maharashtra	Thu, 24 Mar 2011 12:00:00 +0530
Kendriya Vidyalaya, Lakhanpur	http://www.kvlakhanpur.in	http://www.kvlakhanpur.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Lakhanpur	Thu, 26 Mar 2009 12:00:00 +0530
Nalanda University	http://www.nalandauniv.edu.in	http://www.nalandauniv.edu.in	Academies / Institutions (Grant in Aid)	Nalanda University	Mon, 30 Jun 2014 12:00:00 +0530
Kendriya Vidyalaya Ordnance factory, Varangaon, Jalgaon, Maharashra	http://kvofvarangaon.org	http://kvofvarangaon.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Ordnance factory, Varangaon, Jalgaon, Maharashra	Mon, 11 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya Aurangabad, Maharashtra	http://kvaurangabad.org	http://kvaurangabad.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Aurangabad, Maharashtra	Mon, 11 Apr 2011 12:00:00 +0530
Academic Staff College, Jamia Millia Islamia, New Delhi	http://jmi.ac.in/aboutjamia/centres/academic-staff/introduction	http://jmi.ac.in/aboutjamia/centres/academic-staff/introduction	Academies / Institutions (Grant in Aid)	Academic Staff College, Jamia Millia Islamia, New Delhi	Mon, 31 Jan 2011 12:00:00 +0530
Jawahar Navodaya Vidyalaya, Sonikpur, Barabanki, Uttar Pradesh	http://jnvbarabanki.edu.in	http://jnvbarabanki.edu.in	Academies / Institutions (Grant in Aid)	Jawahar Navodaya Vidyalaya, Sonikpur, Barabanki, Uttar Pradesh	Thu, 07 Jun 2012 12:00:00 +0530
